   CRM.65-BTE Airfoil 
   0.95690   0.00703
   0.96189   0.00659
   0.96663   0.00608
   0.97112   0.00550
   0.97536   0.00487
   0.97935   0.00418
   0.98308   0.00346
   0.98655   0.00270
   0.98977   0.00190
   0.99272   0.00109
   0.99541   0.00026
   0.99784  -0.00059
   1.00000  -0.00147
